Date,Open,High,Low,Close,Adj Close,Volume
2019-12-16,69.25,70.197502,69.245003,69.964996,69.485619,128186000.0
2019-12-17,69.892502,70.442497,69.699997,70.102501,69.622192,114158400.0
2019-12-18,69.949997,70.474998,69.779999,69.934998,69.455833,116028400.0
2019-12-19,69.875,70.294998,69.737503,70.004997,69.525352,98369200.0
2019-12-20,70.557503,70.662498,69.639999,69.860001,69.381348,275978000.0
2019-12-23,70.1325,71.0625,70.092499,71.0,70.513535,98572000.0
2019-12-24,71.172501,71.222504,70.730003,71.067497,70.580566,48478800.0
2019-12-26,71.205002,72.495003,71.175003,72.477501,71.980911,93121200.0
2019-12-27,72.779999,73.4925,72.029999,72.449997,71.953598,146266000.0
2019-12-30,72.364998,73.172501,71.305,72.879997,72.380653,144114400.0
2019-12-31,72.482498,73.419998,72.379997,73.412498,72.9095,100805600.0
2020-01-02,74.059998,75.150002,73.797501,75.087502,74.573036,135480400.0
2020-01-03,74.287498,75.144997,74.125,74.357498,73.84803,146322800.0
2020-01-06,73.447502,74.989998,73.1875,74.949997,74.43647,118387200.0
2020-01-07,74.959999,75.224998,74.370003,74.597504,74.086395,108872000.0
2020-01-08,74.290001,76.110001,74.290001,75.797501,75.27816,132079200.0
2020-01-09,76.809998,77.607498,76.550003,77.407501,76.877136,170108400.0
2020-01-10,77.650002,78.167503,77.0625,77.582497,77.050926,140644800.0
2020-01-13,77.910004,79.267502,77.787498,79.239998,78.697075,121532000.0
2020-01-14,79.175003,79.392502,78.042503,78.169998,77.634407,161954400.0
2020-01-15,77.962502,78.875,77.387497,77.834999,77.301704,121923600.0
2020-01-16,78.397499,78.925003,78.022499,78.809998,78.27002,108829200.0
2020-01-17,79.067497,79.684998,78.75,79.682503,79.136551,137816400.0
2020-01-21,79.297501,79.754997,79.0,79.142502,78.60025,110843200.0
2020-01-22,79.644997,79.997498,79.327499,79.425003,78.880821,101832400.0
2020-01-23,79.480003,79.889999,78.912498,79.807503,79.260696,104472000.0
2020-01-24,80.0625,80.832497,79.379997,79.577499,79.032265,146537600.0
2020-01-27,77.514999,77.942497,76.220001,77.237503,76.708298,161940000.0
2020-01-28,78.150002,79.599998,78.047501,79.422501,78.878326,162234000.0
